clave_municipio,entidad,mpio,hogremjefmuj2015,popnoafmed2015,popden2020,crimen_2018,crimen_2019,tasa_covid
1001,Aguascalientes,Aguascalientes,2782.7,1433.7,811.991,7.36,8.15,344.852
1002,Aguascalientes,Asientos,2205.4,577.4,94.087,7.81,5.78,118.945
1003,Aguascalientes,Calvillo,2559.6,997.4,62.549,8.4,8.31,210.500
1004,Aguascalientes,Cosio,2117.1,528.3,131.885,17.86,0,87.481
1005,Aguascalientes,Jesus Maria,1989.2,1402.4,260.285,5.14,10.98,95.941
1006,Aguascalientes,Pabellon de Arteaga,2612.1,1023,239.019,4.32,0,216.062
1007,Aguascalientes,Rincon de Romos,2499.4,1080.1,153.833,7.33,5.43,172.298
1008,Aguascalientes,San Jose de Gracia,3113.1,583.4,11.147,0,0,157.334
1009,Aguascalientes,Tepezala,1913.9,834.4,98.239,4.49,4.43,149.057
1010,Aguascalientes,El Llano,2040.1,874.8,41.635,0,0,58.778
1011,Aguascalientes,San Francisco de los Romo,2093.1,1200.3,462.423,7.05,16.21,79.119
2001,Baja California,Ensenada,3324.7,1415,8.543,36.84,41.07,314.879
2002,Baja California,Mexicali,3013.7,1572.7,76.688,10.79,9.08,331.685
2003,Baja California,Tecate,2940.8,1165.2,35.219,51.92,63.23,269.461
2004,Baja California,Tijuana,3128.5,2156.4,2186.673,102.35,84.07,190.832
2005,Baja California,Playas de Rosarito,3085.2,1961.6,247.204,65.95,86.34,230.301
3001,Baja California Sur,Comondu,2747.2,914.9,5.82,12.91,3.44,570.493
3002,Baja California Sur,Mulege,2492.5,980.4,1.935,22.15,14.85,558.418
3003,Baja California Sur,La Paz,2795.6,1296.9,14.414,22.35,10.28,881.438
3008,Baja California Sur,Los Cabos,2779,1738.4,101.727,20.35,11.15,797.943
3009,Baja California Sur,Loreto,3134.7,1158.5,4.187,13.01,4.22,1150.205
4001,Campeche,Calkini,2033.9,1025.2,30.119,1.66,3.29,88.786
4002,Campeche,Campeche,3527.3,1013,86.223,5.36,2.64,359.897
4003,Campeche,Carmen,3071,1669.8,25.601,10.06,15.63,250.256
4004,Campeche,Champoton,2584.2,1105.1,12.839,10.49,4.14,139.177
4005,Campeche,Hecelchakan,1926.5,1511.7,23.962,0,0,177.609
4006,Campeche,Hopelchen,1444.1,1309.5,5.649,0,0,102.608
4007,Campeche,Palizada,2137.3,494.9,4.191,11.14,0,224.970
4008,Campeche,Tenabo,2175,570.1,12.984,9.08,8.97,124.895
4009,Campeche,Escarcega,2899.4,862,13.113,12.84,12.65,291.991
4010,Campeche,Calakmul,2111.4,793.7,2.292,22.34,6.27,156.038
4011,Campeche,Candelaria,2424.9,1177.8,8.501,37.92,22.83,71.015
5001,Coahuila de Zaragoza,Abasolo,1768.1,1408.9,1.582,0,0,176.991
5002,Coahuila de Zaragoza,Acu̱a,2903.9,1254.6,14.194,3.95,4.56,275.011
5003,Coahuila de Zaragoza,Allende,2600.8,735,116.034,0,3.88,349.322
5004,Coahuila de Zaragoza,Arteaga,1791.4,1667.7,16.264,3.94,3.9,131.884
5005,Coahuila de Zaragoza,Candela,2153.8,1750,0.713,0,0,231.362
5006,Coahuila de Zaragoza,Casta̱os,1682.5,893.2,9.97,3.5,10.4,239.466
5007,Coahuila de Zaragoza,Cuatro Cienegas,2050.7,530.8,1.618,14.23,0,893.114
5008,Coahuila de Zaragoza,Escobedo,1993.2,1615.2,3.129,0,0,116.314
